new_num	new_name	facet	stage	site_count	sample_old_cerrs
50619	internal_generator_function_name	internal	5	1	invalid_block
50620	internal_generator_structure_name	internal	5	1	invalid_block
50621	internal_global	internal	5	2	(empty),no_init
50622	internal_label	internal	5	1	(empty)
50623	internal_lambda_finalizer_name	internal	5	1	invalid_block
50624	internal_lambda_function_name	internal	5	1	invalid_block
50625	internal_lambda_in_scope_conversion	internal	5	1	invalid_variable_type
50626	internal_lambda_structure_name	internal	5	1	invalid_block
50627	internal_macro	internal	5	3	(empty)
50628	internal_name	internal	5	2	(empty)
50629	internal_options	internal	5	2	internal_error
50630	internal_pod_analysis_infer	internal	5	1	unspecified
50631	internal_relocate_infer	internal	5	1	unspecified
50632	internal_structure	internal	5	2	(empty)
50633	internal_structure_block	internal	5	1	invalid_type
50634	internal_table	internal	5	4	(empty)
50635	internal_tuple	internal	5	1	(empty)
50636	internal_tuple_type	internal	5	1	invalid_type
50637	internal_type	internal	5	15	(empty),internal_error,unspecified
50638	internal_type_alias	internal	5	1	invalid_type
50639	internal_typeinfo_macro	internal	5	1	typeinfo_macro_error
50640	internal_variable	internal	5	3	(empty)
