file	line	context	norm_name	classification
src/ast/ast_infer_type_helper.cpp	168	InferTypes::verifyType	not_resolved_yet_table_type	follow_on
src/ast/ast_infer_type_helper.cpp	183	InferTypes::verifyType	not_resolved_yet_table_type	follow_on
src/ast/ast_infer_type_helper.cpp	678	InferTypes::inferTypeExpr	not_resolved_yet_type	follow_on
src/ast/ast_infer_type_helper.cpp	682	InferTypes::inferTypeExpr	not_resolved_yet_type	follow_on
src/ast/ast_infer_type_helper.cpp	966	InferTypes::inferReturnType	not_resolved_yet_expression_type	follow_on
src/ast/ast_infer_type_helper.cpp	969	InferTypes::inferReturnType	not_resolved_yet_expression_type	follow_on
src/ast/ast_infer_type_make.cpp	57	InferTypes::visit(ExprMakeGenerator)	not_resolved_yet_generator_block	follow_on
src/ast/ast_infer_type_make.cpp	217	InferTypes::convertBlockToLambda	not_resolved_yet_lambda_block	follow_on
src/ast/ast_infer_type_make.cpp	281	InferTypes::convertBlockToLocalFunction	not_resolved_yet_function_block	follow_on
src/ast/ast_infer_type_make.cpp	322	InferTypes::visit(ExprMakeBlock)	not_resolved_yet_block	follow_on
src/ast/ast_infer_type_make.cpp	340	InferTypes::visit(ExprMakeBlock)	not_resolved_yet_block	follow_on
src/ast/ast_infer_type_make.cpp	707	InferTypes::structToTuple	not_resolved_yet_tuple_type	follow_on
src/ast/ast_infer_type_make.cpp	814	InferTypes::visit(ExprMakeStruct)	not_resolved_yet_block_argument	follow_on
src/ast/ast_infer_type_make.cpp	941	InferTypes::visit(ExprMakeStruct)	not_resolved_yet_structure	follow_on
src/ast/ast_infer_type_make.cpp	1060	InferTypes::visit(ExprMakeStruct)	not_resolved_yet_structure_type	follow_on
src/ast/ast_infer_type_make.cpp	1119	InferTypes::visit(ExprMakeTuple)	not_resolved_yet_tuple_type	follow_on
src/ast/ast_infer_type_make.cpp	1259	InferTypes::visitMakeArrayIndex	not_resolved_yet_array_type	follow_on
src/ast/ast_infer_type_make.cpp	1275	InferTypes::visitMakeArrayIndex	not_resolved_yet_array_type	follow_on
src/ast/ast_infer_type_make.cpp	1306	InferTypes::visitMakeArrayIndex	invalid_variant_unique	mid_inference
